id,FEMALE,studyethraw,ETHN_CMP,do1,do2,do3,do4,do5,do6,do7,psolv1,psolv2,psolv3,psolv4,psolv5,psolv6,psolv7,psolv8,SOC_STRS,BOTHR_U,negmood1,posmood1
23010,0,4,4,0,1,1,1,1,0,0,1,1,1,1,1,1,NA,0,0,3,2.4,2.6
23020,0,5,2,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,2,1,4
23029,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23108,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23118,0,2,2,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,2,3.4,3.4
23122,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23201,0,5,2,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,2,2,3.8
23206,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23207,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23208,0,4,4,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,NA,NA,1.6,4
23214,0,7,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3.8
23216,0,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23217,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1.6
23227,0,4,4,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,NA,1,3
23301,0,3,3,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,4,1,2.6
23305,1,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1.6,3
23309,1,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.2,1.4
23313,1,4,4,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,3,3.6
23320,0,NA,5,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,2.25,2.8
23322,1,4,4,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,3,1.6,3.6
23400,1,4,4,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1.4,3.75
23403,1,7,5,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,4,2.2,3.4
23405,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23410,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23411,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1.4,2.8
23413,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
